"number","study.ID","effect..","coder","Full.citation","In.text.Citation","Year","Type","Phylum","Bivalve..Gastropod","Taxon","Tax.level","Aggregate.Trait","Author.s.Trait","Trait.category","Start.stage","End.stage","Aggregate.Age..Event","Age..Event","Location","Data.source","Odds.Ratio","Var.Odds.Ratio","Log.odds.ratio","Var.Lnor","X..Ext","X..Surv","Total...Ext","Total...Surv","N","X.","per.capita.extinction","N.1","Total.per.capita.extinction","notes","x.square","n","df","p..sur.extinct.","X..group.a.extinct","X..group.b.extinct","p..before.after.","coefficient","d.f.","p","Note","X","Test.type","Trait.Type.Species.Total","Mean.Duration..my.","p.1","z","Parametric.Non","Test","n.1","p.2","test.stat","df.1","startTime.Ma","endTime.Ma","Volcanism","Flood_basalt","Bollide","OA","BC.extinction.rate","del.18O","del.13C","X87Sr.86Sr","del.34S","sea_level","d18OresidualMean","d18OresidualMeanWeighted","d18OresidualSD","Dd18O.first.differences.Mean","Dd18O.first.differences.SD","Dd18O.first.differences.ABSMean","Dd18O.first.differences.ABSMeanWeighted","d18O.meanObserved","d18O.meanObservedWeighted","d18O.meanObservedSD","d18O.CV","BC.extinction.rate.PBDB","lnor","vlnor"
NA,"Simpson2009ARA","1","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","VeryRare","Rupelian","Chattian","Cenozoic 4","Cenozoic 4","global","Pbdb (1631 collections used)",NA,NA,NA,NA,23,1,226,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,23,1,1,0,0,0.111,-0.338795,0.78134,0.70804,21.705,52.051,0.44776399,0.429356799485981,0.0752808577378875,0.1607790045,0.311245905647648,0.2200840905,0.164487612308411,1.85636274,1.88765700976635,0.12798582534895,0.068944405417742,0.047,-1.05463093322607,9.2573159694288
NA,"Simpson2009ARA","2","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Rare","Rupelian","Chattian","Cenozoic 4","Cenozoic 4","global","Pbdb (1631 collections used)",NA,NA,NA,NA,71,3,226,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,23,1,1,0,0,0.111,-0.338795,0.78134,0.70804,21.705,52.051,0.44776399,0.429356799485981,0.0752808577378875,0.1607790045,0.311245905647648,0.2200840905,0.164487612308411,1.85636274,1.88765700976635,0.12798582534895,0.068944405417742,0.047,-0.423187674204177,0.973742512489224
NA,"Simpson2009ARA","3","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Common","Rupelian","Chattian","Cenozoic 4","Cenozoic 4","global","Pbdb (1631 collections used)",NA,NA,NA,NA,121,5,226,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,23,1,1,0,0,0.111,-0.338795,0.78134,0.70804,21.705,52.051,0.44776399,0.429356799485981,0.0752808577378875,0.1607790045,0.311245905647648,0.2200840905,0.164487612308411,1.85636274,1.88765700976635,0.12798582534895,0.068944405417742,0.047,-0.284848667275975,0.335866339026895
NA,"Simpson2009ARA","4","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Abundant","Rupelian","Chattian","Cenozoic 4","Cenozoic 4","global","Pbdb (1631 collections used)",NA,NA,NA,NA,11,2,226,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.9,23,1,1,0,0,0.111,-0.338795,0.78134,0.70804,21.705,52.051,0.44776399,0.429356799485981,0.0752808577378875,0.1607790045,0.311245905647648,0.2200840905,0.164487612308411,1.85636274,1.88765700976635,0.12798582534895,0.068944405417742,0.047,44.065683805643,31.5515621206567
NA,"Simpson2009ARA","1","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","VeryRare","Aquitanian","Serravallian","Cenozoic 5","Cenozoic 5","global","Pbdb (1631 collections used)",NA,NA,NA,NA,20,7,224,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11.6,1,1,0,0,0.0485,-0.76687,2.01845,0.70857,21.9445,47.557,0.437389047,0.431266666714286,0.0606084726384397,0.0725816185,0.186515966200593,0.1318867045,0.121517901857143,2.049096547,2.03449166671429,0.144580938438248,0.0705583827418591,0.00625,8.52595632533904,2.84559202228955
NA,"Simpson2009ARA","2","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Rare","Aquitanian","Serravallian","Cenozoic 5","Cenozoic 5","global","Pbdb (1631 collections used)",NA,NA,NA,NA,74,16,224,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11.6,1,1,0,0,0.0485,-0.76687,2.01845,0.70857,21.9445,47.557,0.437389047,0.431266666714286,0.0606084726384397,0.0725816185,0.186515966200593,0.1318867045,0.121517901857143,2.049096547,2.03449166671429,0.144580938438248,0.0705583827418591,0.00625,0.679696162890607,0.25610328200606
NA,"Simpson2009ARA","3","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Common","Aquitanian","Serravallian","Cenozoic 5","Cenozoic 5","global","Pbdb (1631 collections used)",NA,NA,NA,NA,118,16,224,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11.6,1,1,0,0,0.0485,-0.76687,2.01845,0.70857,21.9445,47.557,0.437389047,0.431266666714286,0.0606084726384397,0.0725816185,0.186515966200593,0.1318867045,0.121517901857143,2.049096547,2.03449166671429,0.144580938438248,0.0705583827418591,0.00625,-0.447180230755359,0.115528880833654
NA,"Simpson2009ARA","4","EO","Simpson, Carl and Paul G. Harnik. 2009. Assessing the role of abundance in marine bivalve extinction over the post-Paleozioc.  Paleobiology 35: 631-647.","Simpson and Harnik 2009",2009,"PR","Mollusca","Bivalve","bivalve","genera","Abundance","Relative Abundance","Abundant","Aquitanian","Serravallian","Cenozoic 5","Cenozoic 5","global","Pbdb (1631 collections used)",NA,NA,NA,NA,12,0,224,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,11.6,1,1,0,0,0.0485,-0.76687,2.01845,0.70857,21.9445,47.557,0.437389047,0.431266666714286,0.0606084726384397,0.0725816185,0.186515966200593,0.1318867045,0.121517901857143,2.049096547,2.03449166671429,0.144580938438248,0.0705583827418591,0.00625,-25.6346726190476,14.4058096128409
NA,"Stanley 1986 PSE","1","EO","Stanley, Steven M. 1986. Population size, extinction, and speciation: the fission effect in neogene bivalvia. Paleobiology 12:89-110.","Stanley 1986b",1986,"PR","Mollusca","Bivalve","bivalve","species","Abundance","Abundance","Rare","Zanclean","Recent","Pliocene-Recent","Early Pliocene-Modern","Italy",NA,NA,NA,NA,NA,16,6,25,25,NA,NA,NA,NA,NA,"Table 1 also provides data on body size and geogrpahic range that is difficult to extract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.7257335775,1.62303373064151,0.452805550758154,0.549724413,0.198826882644347,0.549724413,0.504628918113208,3.6168923275,3.50618123064151,0.488127302245375,0.134957653711182,NA,-2.02479338842975,0.40495867768595
NA,"Stanley 1986 PSE","2","EO","Stanley, Steven M. 1986. Population size, extinction, and speciation: the fission effect in neogene bivalvia. Paleobiology 12:89-110.","Stanley 1986b",1986,"PR","Mollusca","Bivalve","bivalve","species","Abundance","Abundance","Common","Zanclean","Recent","Pliocene-Recent","Early Pliocene-Modern","Italy",NA,NA,NA,NA,NA,9,19,25,25,NA,NA,NA,NA,NA,"Table 1 also provides data on body size and geogrpahic range that is difficult to extract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1.7257335775,1.62303373064151,0.452805550758154,0.549724413,0.198826882644347,0.549724413,0.504628918113208,3.6168923275,3.50618123064151,0.488127302245375,0.134957653711182,NA,1.25,0.25
NA,"McClure 1995 NSE","2","EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Amount of Burrowing","Siphonate?","other","Maastrichtian","Maastrichtian","K/T","K/T","global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contigency table in which 50%/more of the cells contian less than five entires (author's note)",NA,21,1,"0.505",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"McClure 1995 NSE","3","EO","McClure, M. and A. J. Bohonak. 1995. Non-selectivity in extinction of bivalves in the Late Cretaceous of the Atlantic Coastal Plain of North America. Journal of Evolutionary Biology 8: 779-794.","McClure and Bohank",1995,"PR","Mollusca","Bivalve","bivalve","genera","Amount of Burrowing","Amt of burrowing","other","Maastrichtian","Maastrichtian","K/T","K/T","global",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"contigency table in which 50%/more of the cells contian less than five entires (author's note)",NA,48,3,"0.477",NA,NA,0.882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,NA,NA
NA,"Anderson 2003 EPR","1","EO","Anderson, Laurie C. and Peter D. Roopnarine. 2003. Evolution and phylogenetic relationships of Neogene corbulidae","Anderson and Roopnarine 2003",2003,"PR","Mollusca","Bivalve","corbulid","genera","Body Size","Body Size","Large","Piacenzian","Gelasian","Pliocene-Recent","Pliocene-Pliestocene","Caribbean/ Western Atlantic",NA,NA,NA,NA,NA,5,0,5,4,NA,NA,NA,NA,NA,"page 1096; paragraph 1 under Figure 7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1.8,0,0,0,0,NA,NA,NA,NA,NA,NA,1.405551702,1.405551702,0,0.409132576,0,0.409132576,0.409132576,3.271734202,3.271734202,0,0,0.008,-2.88,1.296
NA,"Anderson 2003 EPR","2","EO","Anderson, Laurie C. and Peter D. Roopnarine. 2003. Evolution and phylogenetic relationships of Neogene corbulidae","Anderson and Roopnarine 2003",2003,"PR","Mollusca","Bivalve","corbulid","genera","Body Size","Body Size","Small","Piacenzian","Gelasian","Pliocene-Recent","Pliocene-Pliestocene","Caribbean/ Western Atlantic",NA,NA,NA,NA,NA,0,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1.8,0,0,0,0,NA,NA,NA,NA,NA,NA,1.405551702,1.405551702,0,0.409132576,0,0.409132576,0.409132576,3.271734202,3.271734202,0,0,0.008,4.5,2.025
NA,"Hansen 1999 ECR","3","EO","Hansen, Thor A., Patricia H. Kelley, Vicky D. Melland, and Scott E. Graham. 1999. Effect of climate-related mass extinctions on escalation in molluscs. Geology 27:1139-1142.","Hansen et al. 1999",1999,"PR","Mollusca","Gastropod","gastropod","species","Body Size","Body Size","NarrowAperture","Maastrichtian","Maastrichtian","K/T","K/T","Ripley Formation (Alabama)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper used a Mann-Whitney U test for tests of significance (0.05 alpha w/ Bonferroni adjustments applied for the number of simultaneous stat comparasons) for relative shell thickness and chi-square for all other considerations; only one test was sign",1.63,135,NA,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,0.401036561174691,0.0994052452103331
NA,"Hansen 1999 ECR","3","EO","Hansen, Thor A., Patricia H. Kelley, Vicky D. Melland, and Scott E. Graham. 1999. Effect of climate-related mass extinctions on escalation in molluscs. Geology 27:1139-1142.","Hansen et al. 1999",1999,"PR","Mollusca","Gastropod","gastropod","species","Body Size","Body Size","NarrowAperture","Priabonian","Priabonian","E/O","E/O","Maryland/ supplemented with Mississippi museum collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper used a Mann-Whitney U test for tests of significance (0.05 alpha w/ Bonferroni adjustments applied for the number of simultaneous stat comparasons) for relative shell thickness and chi-square for all other considerations; only one test was sign",2.94,92,NA,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2,33.9,0,0,1,0,0.163,-0.26606,1.7012,0.70778,22.069,60.744,0.500995595,0.500995595,0,0.380863095,0,0.380863095,0.380863095,1.765863095,1.765863095,0,0,0.076,0.659100378143753,0.149383360914891
NA,"Hansen 1999 ECR","3","EO","Hansen, Thor A., Patricia H. Kelley, Vicky D. Melland, and Scott E. Graham. 1999. Effect of climate-related mass extinctions on escalation in molluscs. Geology 27:1139-1142.","Hansen et al. 1999",1999,"PR","Mollusca","Gastropod","gastropod","species","Body Size","Body Size","NarrowAperture","Langhian","Serravallian","Middle Miocene","Middle Miocene","Calvert Formation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper used a Mann-Whitney U test for tests of significance (0.05 alpha w/ Bonferroni adjustments applied for the number of simultaneous stat comparasons) for relative shell thickness and chi-square for all other considerations; only one test was sign",0,51,NA,">0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,11.6,0,0,0,0,0.055,-0.94404,2.4101,0.708805,22.039,44.03,0.480245709,0.480245709,0,0.204468323,0,0.204468323,0.204468323,2.151330709,2.151330709,0,0,0.01,0,0.263189450695716
NA,"Hansen 1999 ECR","3","EO","Hansen, Thor A., Patricia H. Kelley, Vicky D. Melland, and Scott E. Graham. 1999. Effect of climate-related mass extinctions on escalation in molluscs. Geology 27:1139-1142.","Hansen et al. 1999",1999,"PR","Mollusca","Gastropod","gastropod","species","Body Size","Body Size","NarrowAperture","Piacenzian","Gelasian","Pliocene-Recent","Plio-Pleistocene","Norfolk/ Chowan R., NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This paper used a Mann-Whitney U test for tests of significance (0.05 alpha w/ Bonferroni adjustments applied for the number of simultaneous stat comparasons) for relative shell thickness and chi-square for all other considerations; only one test was sign",0.86,65,NA,"<0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1.8,0,0,0,0,NA,NA,NA,NA,NA,NA,1.405551702,1.405551702,0,0.409132576,0,0.409132576,0.409132576,3.271734202,3.271734202,0,0,0.008,0.420052901399028,0.208373702730618
NA,"Harnik 2011 DIE",NA,"EO","Harnik, Paul G., 2011, Direct and indirect effects of biological factors on extinction risk in fossil bivalves: PNAS.","Harnik 2011",2011,"PR","Mollusca","Bivalve","bivalve","species","Body Size","Geometric Mean",NA,NA,NA,NA,NA,"estern U.S.","Pbdb; museum collections",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Jablonski1986MES","1","EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",NA,"gastropod and bivalve","genera","Body Size","Body Size","Largeplanktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",NA,NA,NA,NA,25,11,147,99,NA,NA,NA,NA,NA,"not phylogenetically corrected?; # gast and # bivalve not given",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-2.7417695473251,0.786101758323981
NA,"Jablonski1986MES","2","EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",NA,"gastropod and bivalve","genera","Body Size","Body Size","Medianplanktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",NA,NA,NA,NA,94,66,147,99,NA,NA,NA,NA,NA,"not phylogenetically corrected?; # gast and # bivalve not given",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,0.0640625,0.0397964015151515
NA,"Jablonski1986MES","3","EO","Jablonski, David and James W. Valentine. 1986. Mass extinctions: Sensitivity of marine larval types. Evolution 83: 6912-6914.","Jablonski and Valentine 1986",1986,"PR","Mollusca",NA,"gastropod and bivalve","genera","Body Size","Body Size","Smallplanktotroph","Maastrichtian","Maastrichtian","K/T","K/T","Gulf and Atlantic Coastal Plain","Jablonski global database",NA,NA,NA,NA,28,22,147,99,NA,NA,NA,NA,NA,"not phylogenetically corrected?; # gast and # bivalve not given",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,0.765333333333334,0.407515151515152
NA,"Jablonski1995SEC","1","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","1","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,10,12,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,6.32847266369993,2.33731590379318
NA,"Jablonski1995SEC","2","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","2","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,18,13,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-0.110492542490461,1.17717054884068
NA,"Jablonski1995SEC","3","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","3","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,20,19,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,1.87954112510326,0.74376127379086
NA,"Jablonski1995SEC","4","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","4","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,16,20,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,4.18481323203545,0.872886494935106
NA,"Jablonski1995SEC","5","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","5","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,28,19,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-0.436314146092327,0.512114485032095
NA,"Jablonski1995SEC","6","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","6","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,14,7,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-4.79704924704925,2.56521745450317
NA,"Jablonski1995SEC","7","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","7","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,13,7,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-4.09418429487179,2.82815224358974
NA,"Jablonski1995SEC","8","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","8","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,16,4,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-12.578641025641,2.82815224358974
NA,"Jablonski1995SEC","9","EO","Jablonski, David and David M. Raup.  1995. Selectivity of End-Cretaceous Marine Bivalve Extinctions.  Science 268: 389-391.","Jablonski and Raup 1995",1995,"PR","Mollusca","Bivalve","bivalve","genera","Body Size","Geometric Mean (cm)","9","Maastrichtian","Maastrichtian","K/T","K/T","global","Jablonski global database",NA,NA,NA,NA,3,1,160,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.6,65,1,1,1,1,0.427,-1.2032,2.4131,0.70778,18.852,55.655,0.018592473,0.018592473,0,1.040606759,0,1.040606759,1.040606759,0.669892473,0.669892473,0,0,0.417,-48.7524439102564,70.7038060897436
